ticker,company_name,sleeve,category,add_date,notes
FIX,Comfort Systems USA,BUILDERS,Mechanical and electrical construction,2022-01-03,Data center mechanical/electrical contractor; large modular and technology end market
EME,EMCOR Group,BUILDERS,Mechanical and electrical construction,2022-01-03,Electrical and mechanical construction; data centers among largest end markets
PWR,Quanta Services,BUILDERS,Grid and power infrastructure services,2022-01-03,Electric power and grid infrastructure buildout; transmission is the binding constraint for DC power delivery
MTZ,MasTec,BUILDERS,Infrastructure construction,2022-01-03,Power delivery and clean energy infrastructure construction
STRL,Sterling Infrastructure,BUILDERS,Site development,2022-01-03,E-infrastructure segment; data center site work and shell development
IESC,IES Holdings,BUILDERS,Electrical contracting,2022-01-03,Communications segment builds data center electrical systems
AGX,Argan,BUILDERS,Power plant EPC,2022-01-03,Gas-fired and renewable power plant engineering and construction via Gemma Power
VRT,Vertiv Holdings,BUILDERS,Power and cooling equipment,2022-01-03,Critical digital infrastructure: power management thermal management and racks
ETN,Eaton,BUILDERS,Electrical equipment,2022-01-03,Electrical power distribution for data centers; large DC backlog
HUBB,Hubbell,BUILDERS,Electrical equipment,2022-01-03,Utility and electrical solutions; grid modernization exposure
NVT,nVent Electric,BUILDERS,Electrical enclosures and cooling,2022-01-03,Electrical connection and protection; liquid cooling solutions
MOD,Modine Manufacturing,BUILDERS,Thermal management,2022-01-03,Data center cooling segment; air and liquid cooling systems
POWL,Powell Industries,BUILDERS,Electrical switchgear,2022-01-03,Custom switchgear and electrical distribution equipment; growing DC orders
GEV,GE Vernova,BUILDERS,Power generation equipment and grid,2024-04-02,Gas turbines grid equipment and electrification; spun off from GE April 2024; enters at first eligible rebalance per seasoning rule
MU,Micron Technology,COMPONENTS,Memory,2022-01-03,DRAM and HBM; HBM is a direct AI compute input
SNDK,Sandisk,COMPONENTS,NAND flash storage,2025-02-24,NAND flash; spun off from Western Digital February 2025; enters at first eligible rebalance per seasoning rule
WDC,Western Digital,COMPONENTS,Hard disk storage,2022-01-03,HDD for hyperscale nearline storage post SanDisk separation
STX,Seagate Technology Holdings,COMPONENTS,Hard disk storage,2022-01-03,HDD mass capacity storage for cloud and AI data lakes
AVGO,Broadcom,COMPONENTS,Networking silicon and custom accelerators,2022-01-03,Custom AI accelerators (XPU) and merchant networking silicon; largest name in family; 10 percent cap binds
MRVL,Marvell Technology,COMPONENTS,Networking silicon and custom accelerators,2022-01-03,Custom silicon electro-optics and interconnect for AI data centers
